#title h anchor_in content anchor_out time pagerank score
#PX 化学系新生党支部就PX项目问题展开讨论 http://www.daf.tsinghua.edu.cn/html/xinwen/yx/hxx/20140429/28798.html
0.0 0.0 0.0 1.8584927 0.010763822 1399509075847 6.947934139134304E-7 3
#PX 捍卫科学是一种担当 http://news.tsinghua.edu.cn/publish/news/4207/2014/20140408170116032984675/20140408170116032984675_.html
0.0 0.0 0.0 1.0668997 0.0 1400117124141 2.45329079007206E-6 2
#PX 本科生党支部和党课学习小组理论1+1集中学习活动举行 http://www.tsinghua.edu.cn/publish/news/4209/2014/20140415134733094439932/20140415134733094439932_.html
0.0 0.0 0.0 1.5770534 0.0 1387326663727 9.490880756857223E-7 1
#PX “雾霾”当选今年十大健康传播热门话题 http://news.tsinghua.edu.cn/publish/news/4207/2013/20131118175730954926049/20131118175730954926049_.html
0.0 0.0 1.5833908 1.7733318 0.0 0 1.9495828382787295E-6 5
#刘奕群 教师详细信息 http://www.cs.tsinghua.edu.cn/publish/cs/4616/2013/20131122152918302181212/20131122152918302181212_.html
0.7810732 0.0 0.7755929 2.7628474 0.0 1240705532859 1.1707610383382416E-6 5
#刘奕群 访“林枫辅导员奖”获得者计算机系学生组长刘奕群 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110225232236640389886/20110225232236640389886_.html
0.0 0.0 0.0 1.3095692 0.0 1381624638877 6.307440116870566E-7 2
#刘奕群 http://news.tsinghua.edu.cn/publish/news/4217/2013/20130913140355874551256/20130913140355874551256_.html
0.0 0.0 0.0 1.9154818 0.0 0 6.239399112928368E-7 2
#刘奕群 交叉信息院召开学生党支部成立大会 施行纵向支部管理 http://en.iiis.tsinghua.edu.cn/zh/show-2901-1.html
0.0 0.0 0.0 1.274709 0.0 1155255827378 3.023502813448431E-6 1
#刘奕群 清华表彰2006届本科生毕业班先进集体 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110225231757734554919/20110225231757734554919_.html
1.0328724 0.0 1.0067096 2.5810912 0.2922687 1332376219055 1.2405519100866513E-6 5
#陈吉宁 顾秉林 48岁陈吉宁接任清华大学校长 http://news.tsinghua.edu.cn/publish/news/4207/2012/20120222134103200854545/20120222134103200854545_.html
1.1485835 0.0 1.2064326 2.6291554 0.2922687 1332289818996 1.2405519100866513E-6 4
#陈吉宁 顾秉林 http://news.tsinghua.edu.cn/publish/news/4207/2012/20120221161153107678787/20120221161153107678787_.html
0.9383415 0.0 0.8398639 2.383551 0.01738955 1332202917551 3.1675049285695422E-6 4
#陈吉宁 顾秉林 http://news.tsinghua.edu.cn/publish/news/4204/2012/20120220192113073225431/20120220192113073225431_.html
0.0 0.0 0.0 2.0963614 0.0 1312504028801 3.2359425858885515E-6 3
#陈吉宁 顾秉林 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110705103538280599101/20110705103538280599101_.html
0.992863 0.0 0.9441862 2.3498428 0.0 1316219232111 1.4761230886506382E-6 4
#奶茶MM  “奶茶MM ” 清华报到 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110817164320785218317/20110817164320785218317_.html
0.0 0.0 0.0 1.286996 0.0 1376267306512 6.98161102263839E-7 2
#奶茶MM 清华大学开展“毕业纪”无偿献血活动 http://news.tsinghua.edu.cn/publish/news/4205/2013/20130712160707452292064/20130712160707452292064_.html
0.0 0.0 0.0 1.8188486 0.0 0 6.326503125819727E-7 4
#奶茶MM 2011顶你上清华——章泽天 http://join-tsinghua.edu.cn/publish/bzw/7530/2012/20120413010714554143401/20120413010714554143401_.html 
0.0 0.0 0.0 0.0 0.01573048 1347668518623 6.300922450463986E-7 1
#奶茶MM 3300名本科新生金秋喜入清华园 http://news.tsinghua.edu.cn/publish/news/4204/2012/20120815190453750630751/20120815190453750630751_.html
0.9383415 0.0 0.8398639 2.8269866 0.38456926 1403137883742 1.0281715731252916E-5 5
#星火 清华“星火班”点燃科技创新成就燎原之势 http://news.tsinghua.edu.cn/publish/news/4207/2014/20140519161553711159838/20140519161553711159838_.html
1.513988 0.0 1.4363209 2.7534645 0.12963806 1357864401261 3.313014985906193E-6 4
#星火 点亮星火，培育创新人才 http://news.tsinghua.edu.cn/publish/news/4209/2012/20121211092018150641148/20121211092018150641148_.html
0.97399855 0.0 0.8889749 2.8584347 0.38358474 1403397084399 1.0198564268648624E-5 3
#星火 清华星火班资助学生参加海外学术会议 http://news.tsinghua.edu.cn/publish/news/4207/2014/20140522151843359945072/20140522151843359945072_.html
1.0124726 0.0 0.9441862 2.6300604 0.3936629 1402705747405 3.0038042950764066E-6 5
#星火 60名清华学子入选第八期星火班 http://news.tsinghua.edu.cn/publish/news/4205/2014/20140514134817731188683/20140514134817731188683_.html
0.9214744 0.0 0.81728846 2.7944074 0.04160902 1403137883673 1.0422624654893298E-5 5
#星火 清华“星火班”培养未来相关学科的领军人物 http://news.tsinghua.edu.cn/publish/news/4207/2014/20140519161310943778523/20140519161310943778523_.html
0.9558376 0.0 0.86372185 2.5782464 0.38407636 1403137883773 1.0281715731252916E-5 5
#星火 清华大学实施“星火计划”发掘创新人才 http://news.tsinghua.edu.cn/publish/news/4207/2014/20140519161840202934192/20140519161840202934192_.html
0.84548473 0.0 0.7755929 2.549668 0.026495798 1215735897644 3.3700150652293814E-6 3
#星火 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110225232106218352841/20110225232106218352841_.html
0.88949627 0.0 0.7755929 2.212401 0.029509403 1232065525571 3.810339876508806E-6 3
#星火 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110225232214296895423/20110225232214296895423_.html
0.0 0.0 0.0 1.5770534 0.0 1403396948564 3.033940083696507E-5 1
#星火 清华大学首届“永新杯”金相实验技能大赛举行 http://news.tsinghua.edu.cn/publish/news/4205/2014/20140522145512169437737/20140522145512169437737_.html
0.7257811 0.0 0.0 1.7255375 0.0 0 6.631918267885339E-7 3
#星火 姚期智院士做客星火论坛 讲述科学家与科学之路_学者风采_清华大学交叉信息研究院(IIIS) http://iiis.tsinghua.edu.cn/zh/show-2955-1.html
0.8492936 0.0 0.0 0.0 0.0 1396167011000 1 4
#星火 人人状态 http://page.renren.com/601392006/fdoing/5165464660
0.0 0.0 0.0 1.7105983 0.0 1200615869638 1.081311097550497E-6 2
#星火 首届清华大学“科创之星”评选揭晓 - 清华大学新闻网 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110225232008187173501/20110225232008187173501_.html
0.81848603 0.0 0.7755929 2.3739781 0.30495012 1232151925781 1.1372701465006685E-6 4
#甲团 【甲团评估20年】工31：优秀的集体是青年成材的助推器 - 清华大学新闻网 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110225232214750887808/20110225232214750887808_.html
0.88949627 0.0 0.7755929 0.0 0.19402847 1231374323633 1.2584406476889853E-6 4
#甲团 【甲团评估20年】杜汇良：永不落幕的精神家园 - 清华大学新闻网 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110225232209015479280/20110225232209015479280_.html
0.9214744 0.0 0.0 2.1234193 0.0 1371342909316 6.300855943663919E-7 2
#甲团 【先进班集体】自95：团结奋进，共创辉煌 - 清华大学新闻网 http://news.tsinghua.edu.cn/publish/news/4212/2013/20130516145220468330049/20130516145220468330049_.html
0.0 0.0 0.0 2.3077884 0.0 1390004926607 6.560999850080407E-7 1
#清华游泳队问鼎北京高校游泳男女总团冠军 - 清华大学新闻网 http://news.tsinghua.edu.cn/publish/news/4205/2013/20131218164652014619580/20131218164652014619580_.html
1.0271986 0.0 0.0 0.0 0.0 1369745450000 1 3
#甲团 转自计一原理 http://page.renren.com/601544065/fdoing/4805865597
0.87432534 0.0 0.7755929 0.0 0.30495012 1231374323592 1.2584406476889853E-6 3
#甲团 【甲团评估20年】谭浩强：同一个梦与追梦的舞台 - 清华大学新闻网 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110225232208906577052/20110225232208906577052_.html
0.0 0.0 0.7379452 1.8511717 0.0 0 6.387397206708556E-7 3
#甲团 清华大学热能工程系 http://www.te.tsinghua.edu.cn/publish/te/7582/2013/20130603162918975674882/20130603162918975674882_.html
0.87432534 0.0 0.7563008 2.5853455 0.44026983 1401240324772 8.160747711372096E-6 5
#挑战杯 清华第32届挑战杯学生课外学术科技作品展览开幕 - 清华大学新闻网 http://www.tsinghua.edu.cn/publish/news/4209/2014/20140428190305804121610/20140428190305804121610_.html
0.97399855 0.0 0.0 2.4229715 0.42993873 1400289924232 2.45329079007206E-6 5
#挑战杯 清华“挑战杯”学生6件作品获特等奖 - 清华大学新闻网 http://www.tsinghua.edu.cn/publish/news/4209/2014/20140417163536977851618/20140417163536977851618_.html
0.992863 0.0 0.9157492 2.5701349 0.4310691 1385166810117 6.633799216615444E-7 3
#挑战杯 清华召开全国“挑战杯”工作总结会 - 清华大学新闻网 http://news.tsinghua.edu.cn/publish/news/4209/2013/20131023100212886305767/20131023100212886305767_.html
1.1749082 0.0 0.8889749 2.5289876 0.0 0 1.2349430562608177E-6 3
#挑战杯 【我与挑战杯】胡淏：在自由的天空翱翔 http://join-tsinghua.edu.cn/publish/bzw/7561/2012/20120405090630614855735/20120405090630614855735_.html
0.905203 0.0 0.81728846 2.4283895 0.42596284 1388712229305 6.556843459293304E-7 4
#挑战杯 【挑战杯】叩问贫困地区教育发展的“兰花草” - 清华大学新闻网 http://www.tsinghua.edu.cn/publish/news/4205/2013/20131203092738582189828/20131203092738582189828_.html
0.88949627 0.0 0.7755929 2.6540105 0.42445445 1211934286866 1.825199888116913E-6 2
#挑战杯 第26届“挑战杯”学生课外学术科技作品展开幕 - 清华大学新闻网 http://news.tsinghua.edu.cn/publish/news/4205/2011/20110225232046718146356/20110225232046718146356_.html
0.0 0.0 1.2064326 2.1447706 0.27545682 0 7.06540822648094E-6 1
#清华大学工程物理系 http://www.ep.tsinghua.edu.cn/publish/ep/1036/index.html
0.0 0.0 1.6703776 0.6152629 0.0 0 1.69751001521945E-6 4
#唐杰 清华大学计算机科学与技术系 http://www.cs.tsinghua.edu.cn/publish/cs/4616/2011/20110330101939787483549/20110330101939787483549_.html
0.0 0.0 0.0 1.6048678 0.0 0 1.0669899893400725E-5 1
#唐杰 清华大学数学科学系 http://math.tsinghua.edu.cn/publish/math/7005/index.html
